Director,Film
Martin Scorsese,Last Year at Marienbad
Martin Scorsese,Lawrence of Arabia
Martin Scorsese,Lola Montés
Martin Scorsese,Once Upon a Time in the West
Martin Scorsese,The Round-Up
Martin Scorsese,Chimes at Midnight
Martin Scorsese,The Trial
Martin Scorsese,Barry Lyndon
Martin Scorsese,The Flowers of St. Francis
Martin Scorsese,High and Low
Martin Scorsese,The Band Wagon
Martin Scorsese,The Bad and the Beautiful
Martin Scorsese,Arsenic and Old Lace
Martin Scorsese,Cat People
Martin Scorsese,Caught
Martin Scorsese,Born on the Fourth of July
Martin Scorsese,Ace in the Hole
Martin Scorsese,Paisan
Martin Scorsese,The Red Shoes
Martin Scorsese,The River
Martin Scorsese,Ugetsu
Martin Scorsese,Ashes and Diamonds
Martin Scorsese,L'avventura
Martin Scorsese,Salvatore Giuliano
Martin Scorsese,8½
Martin Scorsese,Contempt
Martin Scorsese,The Leopard
Martin Scorsese,Pearl
Martin Scorsese,A Trip to the Moon
Martin Scorsese,Vertigo
Martin Scorsese,The Ten Commandments
Martin Scorsese,2001: A Space Odyssey
Martin Scorsese,The Searchers
Martin Scorsese,Citizen Kane
Christopher Nolan,On Her Majesty's Secret Service
Christopher Nolan,Heat
Christopher Nolan,The Hateful Eight
Christopher Nolan,Baby Driver
Christopher Nolan,Chariots of Fire
Christopher Nolan,Speed
Christopher Nolan,2001: A Space Odyssey
Christopher Nolan,12 Angry Men
Christopher Nolan,Alien
Christopher Nolan,All Quiet on the Western Front
Christopher Nolan,Blade Runner
Christopher Nolan,Close Encounters of the Third Kind
Christopher Nolan,First Man
Christopher Nolan,Foreign Correspondent
Christopher Nolan,Greed
Christopher Nolan,The Right Stuff
Christopher Nolan,Metropolis
Christopher Nolan,Lawrence of Arabia
Christopher Nolan,Star Wars
Christopher Nolan,For All Mankind
Christopher Nolan,The Hit
Christopher Nolan,Koyaanisqatsi
Christopher Nolan,Merry Christmas Mr. Lawrence
Christopher Nolan,The Testament of Dr. Mabuse
Akira Kurosawa,Broken Blossoms or the Yellow Man and the Girl
Akira Kurosawa,The Cabinet of Dr. Caligari
Akira Kurosawa,The Gold Rush
Akira Kurosawa,The Fall of the House of Usher
Akira Kurosawa,The Thin Man
Akira Kurosawa,The Grand Illusion
Akira Kurosawa,My Neighbor Totoro
Akira Kurosawa,The 400 Blows
Akira Kurosawa,Late Spring
Akira Kurosawa,Pather Panchali
Akira Kurosawa,One Flew Over the Cuckoo's Nest
Akira Kurosawa,Barry Lyndon
Akira Kurosawa,It's a Wonderful Life
Akira Kurosawa,Fanny and Alexander
Akira Kurosawa,"Paris, Texas"
Akira Kurosawa,The Godfather: Part II
Steven Spielberg,Lawrence of Arabia
Steven Spielberg,Citizen Kane
Steven Spielberg,Guardians of the Galaxy
Steven Spielberg,The Godfather
Steven Spielberg,The Searchers
Steven Spielberg,Stagecoach
Steven Spielberg,How Green Was My Valley
Steven Spielberg,Tootsie
Steven Spielberg,Captains Courageous
Steven Spielberg,The Best Years of Our Lives
Steven Spielberg,Fantasia
Steven Spielberg,The Shining
Steven Spielberg,Dark Knight
Steven Spielberg,It's a Wonderful Life
Steven Spielberg,Psycho
Steven Spielberg,2001: A Space Odyssey
Steven Spielberg,Seven Samurai
Steven Spielberg,John Ford
Steven Spielberg,François Truffaut
Stanley Kubrick,Annie Hall
Stanley Kubrick,La Strada
Stanley Kubrick,Cries and Whispers
Stanley Kubrick,Eraserhead
Stanley Kubrick,Pulp Fiction
Stanley Kubrick,Bob le Flambeur
Stanley Kubrick,The Company of Wolves
Stanley Kubrick,White Men Can't Jump
Stanley Kubrick,Silence of the Lambs
Stanley Kubrick,La Notte
Stanley Kubrick,Henry V
Stanley Kubrick,The Treasure of the Sierra Madre
Stanley Kubrick,Citizen Kane
Stanley Kubrick,Wild Strawberries
Stanley Kubrick,I Vitelloni
Stanley Kubrick,City Lights
Stanley Kubrick,Roxie Hart
Stanley Kubrick,Hell's Angels
Quentin Tarantino,The Texas Chainsaw Massacre
Quentin Tarantino,The Wild Bunch
Quentin Tarantino,Young Frankenstein
Quentin Tarantino,Back to the Future
Quentin Tarantino,The Thing
Quentin Tarantino,"The Good, the Bad and the Ugly"
Quentin Tarantino,Rio Bravo
Quentin Tarantino,Blow Out
Quentin Tarantino,Taxi Driver
Quentin Tarantino,His Girl Friday
Quentin Tarantino,Five Fingers of Death
Quentin Tarantino,Pandora's Box
Quentin Tarantino,Carrie
Quentin Tarantino,Unfaithfully Yours
Quentin Tarantino,Five Graves to Cairo
Quentin Tarantino,Jaws
Quentin Tarantino,Black Sabbath
Quentin Tarantino,Tenebrae
Quentin Tarantino,Rolling Thunder
Quentin Tarantino,The Prowler
Quentin Tarantino,Battle Royale
Quentin Tarantino,Anything Else
Quentin Tarantino,Audition
